identifier,label
O14776,Little disorder
O60885,Little disorder
Q13568,Little disorder
Q96RI1,Little disorder
Q02078,Little disorder
P03254,Mostly disordered
P17763,Little disorder
P29990,Little disorder
Q2YHF0,Little disorder
P07986,Little disorder
Q9RJY2,Little disorder
Q9EPH0,Little disorder
P11021,Little disorder
Q5JJ98,Little disorder
Q8BH64,Little disorder
Q4JC68,Little disorder
P50553,Mostly disordered
A0A2K8FR49,Mostly disordered
S6AWC2,Mostly disordered
O65934,Little disorder
Q63450,Little disorder
P19619,Little disorder
P22303,Little disorder
P0CE48,Little disorder
P0CF51,Little disorder
P27058,Mostly disordered
M1GUG5,Mostly disordered
P01071,Mostly disordered
P13693,Little disorder
Q02554,Little disorder
Q6CMF0,Little disorder
P76407,Little disorder
Q8TEK3,Little disorder
Q14493,Little disorder
P36894,Little disorder
P27321,Little disorder
Q07009,Little disorder
E2IHW6,Little disorder
Q8K4J6,Little disorder
O08807,Little disorder
P16220,Little disorder
P47710,Mostly disordered
Q9H2Y7,Little disorder
Q9M4V2,Little disorder
Q9NRJ3,Mostly disordered
P32684,Little disorder
P52272,Little disorder
P30429,Little disorder
P17405,Little disorder
P32504,Little disorder
P14335,Little disorder
P33322,Little disorder
Q9Y7M4,Little disorder
Q9FG31,Mostly disordered
P38919,Little disorder
P33411,Little disorder
P02686-5,Mostly disordered
P28698,Little disorder
P27472,Little disorder
P60604,Little disorder
O94316,Little disorder
A0A045GWT8,Mostly disordered
Q00944,Little disorder
Q02199,Little disorder
P52948,Little disorder
Q03281,Little disorder
P30307,Little disorder
P06437,Little disorder
O94444,Little disorder
P04386,Little disorder
P0ABS5,Little disorder
Q2TAZ0,Little disorder
P32337,Little disorder
P47054,Little disorder
Q676U5,Little disorder
Q24570,Little disorder
Q9HD26,Little disorder
Q925J9,Little disorder
P49687,Little disorder
P35729,Little disorder
P36161,Little disorder
Q02388,Little disorder
Q8WUM0,Little disorder
Q8N726-1,Mostly disordered
Q72J05,Little disorder
P37028,Little disorder
O15234,Little disorder
Q9BS26,Little disorder
P52695,Little disorder
P21734,Little disorder
P68466,Little disorder
P53136,Little disorder
P0ADV9,Little disorder
Q9Q6P4,Little disorder
Q5UB51,Little disorder
Q2TUW1,Mostly disordered
Q03519,Little disorder
P05769,Little disorder
Q93P54,Little disorder
P32521,Little disorder
P29375,Little disorder
P24385,Little disorder
Q02821,Little disorder
Q99958,Little disorder
P08476,Little disorder
P10721,Little disorder
P38862,Little disorder
P68363,Little disorder
Q96F86,Little disorder
P14598,Little disorder
P26554,Little disorder
P42226,Little disorder
P32120,Little disorder
Q8IVG9,Mostly disordered
Q9Y6K9,Little disorder
Q92905,Little disorder
P04486,Little disorder
Q96PU5,Little disorder
P63165,Little disorder
Q05471,Little disorder
P50498,Mostly disordered
Q71UI9,Little disorder
Q15843,Little disorder
Q0JRZ9,Little disorder
P53865,Little disorder
O60200,Little disorder
Q05776,Little disorder
P53779,Little disorder
K7J0R2,Little disorder
C4PB33,Little disorder
O17428,Little disorder
P13861,Little disorder
Q98148,Little disorder
O60701,Little disorder
A0A178W0D3,Little disorder
