identifier,label
cath|4_2_0|2q2eB02/235-311,Mainly Alpha
cath|4_2_0|3vk8A02/138-289,Mainly Alpha
cath|4_2_0|5ep2A02/314-392,Mainly Alpha
cath|4_2_0|4qosA02/180-257,Mainly Alpha
cath|4_2_0|1lv7A02/325-399,Mainly Alpha
cath|4_2_0|1in4A03/181-255,Mainly Alpha
cath|4_2_0|3d8bB02/568-651,Mainly Alpha
cath|4_2_0|5expA02/318-394,Mainly Alpha
cath|4_2_0|4lj9A02/757-849,Mainly Alpha
cath|4_2_0|4fwdA02/393-470,Mainly Alpha
cath|4_2_0|2c9oB03/366-448,Mainly Alpha
cath|4_2_0|1c1kA01/6-107,Mainly Alpha
cath|4_2_0|4lrtC02/282-345,Mainly Alpha
cath|4_2_0|2fnaA02/208-283,Mainly Alpha
cath|4_2_0|4ko8B04/371-460,Mainly Alpha
cath|4_2_0|5eqtA02/277-348,Mainly Alpha
cath|4_2_0|1qzmA00/491-584,Mainly Alpha
cath|4_2_0|1d2nA02/677-743,Mainly Alpha
cath|4_2_0|4zpxA02/321-412,Mainly Alpha
cath|4_2_0|3ajiB00/336-408,Mainly Alpha
cath|4_2_0|5ftjA06/649-747,Mainly Alpha
cath|4_2_0|1r6bX03/351-438,Mainly Alpha
cath|4_2_0|3bosA02/175-241,Mainly Alpha
cath|4_2_0|1njgB01/5-11_178-243,Mainly Alpha
cath|4_2_0|4l4uA03/312-384,Mainly Alpha
cath|4_2_0|3zh9B02/144-213,Mainly Alpha
cath|4_2_0|1w5sA01/7-16_216-293,Mainly Alpha
cath|4_2_0|4lcbA02/267-362,Mainly Alpha
cath|4_2_0|2x8aA02/749-839,Mainly Alpha
cath|4_2_0|4qhsA02/303-374,Mainly Alpha
cath|4_2_0|1fnnA01/1-17_192-275,Mainly Alpha
cath|4_2_0|3pvsA02/165-240,Mainly Alpha
cath|4_2_0|2qz4A02/480-556,Mainly Alpha
cath|4_2_0|2chgA02/161-226,Mainly Alpha
cath|4_2_0|1njgA02/178-243,Mainly Alpha
cath|4_2_0|1r6bX05/653-751,Mainly Alpha
cath|4_2_0|3b9pA02/651-734,Mainly Alpha
cath|4_2_0|3uk6C02/363-444,Mainly Alpha
cath|4_2_0|3whkA02/352-423,Mainly Alpha
cath|4_2_0|1jqjD03/143-231,Mainly Alpha
cath|4_2_0|1jr3D03/143-213,Mainly Alpha
cath|4_2_0|1um8A02/342-438,Mainly Alpha
cath|4_2_0|2xszD02/278-368,Mainly Alpha
cath|4_2_0|1im2A03/336-433,Mainly Alpha
cath|4_2_0|1sxjA02/478-549,Mainly Alpha
cath|4_2_0|3sykA02/203-295,Mainly Alpha
cath|4_2_0|1sxjD02/193-262,Mainly Alpha
cath|4_2_0|1sxjC02/170-238,Mainly Alpha
cath|4_2_0|2z4sA02/264-335,Mainly Alpha
cath|4_2_0|3cf0A02/648-763,Mainly Alpha
cath|4_2_0|1sxjE02/194-257,Mainly Alpha
cath|4_2_0|3u61C02/162-228,Mainly Alpha
cath|4_2_0|3mhvC00/297-413,Mainly Alpha
cath|4_2_0|1l8qA02/242-290,Mainly Alpha
cath|4_2_0|2v1uA01/13-32_213-299,Mainly Alpha
cath|4_2_0|2qbyB01/17-31_207-293,Mainly Alpha
cath|4_2_0|3u60E02/162-220,Mainly Alpha
cath|4_2_0|2v6zM00/25-99,Mainly Alpha
cath|4_2_0|2ja2A04/336-387,Mainly Alpha
cath|4_2_0|1j09A04/323-370,Mainly Alpha
cath|4_2_0|3afhA04/332-381,Mainly Alpha
cath|4_2_0|2cfoA04/328-381,Mainly Alpha
cath|4_2_0|4griA04/331-383,Mainly Alpha
cath|4_2_0|4g6zA02/321-466,Mainly Alpha
cath|4_2_0|1e9rA02/185-297,Mainly Alpha
cath|4_2_0|1g8pA02/261-350,Mainly Alpha
cath|4_2_0|3futA02/204-268,Mainly Alpha
cath|4_2_0|3ftdA02/184-246,Mainly Alpha
cath|4_2_0|3uzuA02/207-275,Mainly Alpha
cath|4_2_0|3gruA02/187-272,Mainly Alpha
cath|4_2_0|3tqsA02/194-258,Mainly Alpha
cath|4_2_0|4jxjA02/204-268,Mainly Alpha
cath|4_2_0|1qamA02/135-148_181-244,Mainly Alpha
cath|4_2_0|4gc5A02/239-328,Mainly Alpha
cath|4_2_0|1i4wA02/251-325,Mainly Alpha
cath|4_2_0|1jb0F00/1-141,Mainly Alpha
cath|4_2_0|4kt0F00/3-143,Mainly Alpha
cath|4_2_0|1gvnA00/3-90,Mainly Alpha
cath|4_2_0|2p5tA00/67-158,Mainly Alpha
cath|4_2_0|2fh0A00/36-116,Mainly Alpha
cath|4_2_0|2cruA01/23-99,Mainly Alpha
cath|4_2_0|1eijA00/1-72,Mainly Alpha
cath|4_2_0|2jxnA01/1-106,Mainly Alpha
cath|4_2_0|1v33A02/177-279,Mainly Alpha
cath|4_2_0|1oaoC01/2-121,Mainly Alpha
cath|4_2_0|1no1A00/2-67,Mainly Alpha
cath|4_2_0|1pjqA03/149-213,Mainly Alpha
cath|4_2_0|3c3dA02/35-122,Mainly Alpha
cath|4_2_0|2gnoA02/147-206,Mainly Alpha
cath|4_2_0|3v76A03/263-323,Mainly Alpha
cath|4_2_0|2gqfA03/266-326,Mainly Alpha
cath|4_2_0|4nc6A02/583-676,Mainly Alpha
cath|4_2_0|2qq8A02/403-520,Mainly Alpha
cath|4_2_0|4p17A02/78-187,Mainly Alpha
cath|4_2_0|2vf7A03/161-285,Mainly Alpha
cath|4_2_0|2r6fA04/282-403,Mainly Alpha
cath|4_2_0|3zqjE04/292-409,Mainly Alpha
cath|4_2_0|3c9pA00/-1-120,Mainly Alpha
cath|4_2_0|2r44A03/208-325,Mainly Alpha
cath|4_2_0|3nbxX02/222-285,Mainly Alpha
cath|4_2_0|2aplA01/2-69,Mainly Alpha
cath|4_2_0|2aplA02/70-150,Mainly Alpha
cath|4_2_0|1qusA01/51-98_171-235,Mainly Alpha
cath|4_2_0|3p2nB01/37-66,Mainly Alpha
cath|4_2_0|3bxwA01/11-43,Mainly Alpha
cath|4_2_0|2ahmA00/2-78,Mainly Alpha
cath|4_2_0|2g8lB01/2-68,Mainly Alpha
cath|4_2_0|2ffjA01/7-68,Mainly Alpha
cath|4_2_0|1h6uA01/36-78,Mainly Alpha
cath|4_2_0|1nhwC00/366-425,Mainly Alpha
cath|4_2_0|1oryB00/2479-2518,Mainly Alpha
cath|4_2_0|3vdpA01/0-51,Mainly Alpha
cath|4_2_0|1vddB01/2-53,Mainly Alpha
cath|4_2_0|1z6tA03/285-365,Mainly Alpha
cath|4_2_0|3hhwA00/193-265,Mainly Alpha
cath|4_2_0|3ksxA03/240-273,Mainly Alpha
cath|4_2_0|1xhbA02/360-425,Mainly Alpha
cath|4_2_0|1wxqA02/126-215,Mainly Alpha
cath|4_2_0|2h1rA02/180-276,Mainly Alpha
cath|4_2_0|2a5yB03/291-370,Mainly Alpha
cath|4_2_0|2y0tA00/279-330,Mainly Alpha
cath|4_2_0|4i5sA01/37-101,Mainly Alpha
cath|4_2_0|1ye9A01/80-125,Mainly Alpha
cath|4_2_0|3fd9A01/37-108,Mainly Alpha
cath|4_2_0|2kebA00/1-78,Mainly Alpha
cath|4_2_0|2x49A03/497-586,Mainly Alpha
cath|4_2_0|2ynmD04/479-528,Mainly Alpha
cath|4_2_0|2l09A01/3-54,Mainly Alpha
cath|4_2_0|2w82A02/62-103,Mainly Alpha
cath|4_2_0|2eucA00/2-113,Mainly Alpha
cath|4_2_0|3hhyA01/25-95,Mainly Alpha
cath|4_2_0|3ilkA02/171-238,Mainly Alpha
cath|4_2_0|4xboB02/166-240,Mainly Alpha
cath|4_2_0|2bnkA00/65-128,Mainly Alpha
cath|4_2_0|3dfzA02/128-201,Mainly Alpha
cath|4_2_0|2xepA03/272-324,Mainly Alpha
cath|4_2_0|2d7eA01/16-105,Mainly Alpha
cath|4_2_0|2hl7A00/-4-78,Mainly Alpha
cath|4_2_0|2l6oA02/73-114,Mainly Alpha
cath|4_2_0|3qauA03/373-423,Mainly Alpha
cath|4_2_0|5dnyA03/320-365,Mainly Alpha
cath|4_2_0|3qwlA02/80-156,Mainly Alpha
cath|4_2_0|3u61A03/117-187,Mainly Alpha
cath|4_2_0|3vkgB04/2102-2232,Mainly Alpha
cath|4_2_0|4akgA06/1923-2029,Mainly Alpha
cath|4_2_0|3vkgA18/4239-4411,Mainly Alpha
cath|4_2_0|4akgA16/3900-4064,Mainly Alpha
cath|4_2_0|4ag6A02/304-424,Mainly Alpha
cath|4_2_0|4akgA13/3520-3538_3615-3690,Mainly Alpha
cath|4_2_0|4lgyA02/153-214,Mainly Alpha
cath|4_2_0|2g5gX02/141-199,Mainly Alpha
cath|4_2_0|2eo2A00/1-71,Mainly Alpha
cath|4_2_0|5kprA03/242-284,Mainly Alpha
cath|4_2_0|2j7nA02/404-483,Mainly Alpha
cath|4_2_0|2kxeA00/1-72,Mainly Alpha
cath|4_2_0|2kzsA00/51-144,Mainly Alpha
cath|4_2_0|2lh0A00/-2-67,Mainly Alpha
cath|4_2_0|2lnhC00/133-179,Mainly Alpha
cath|4_2_0|4gmqA00/355-446,Mainly Alpha
cath|4_2_0|2lwxA00/346-433,Mainly Alpha
cath|4_2_0|2lxeA01/34-102,Mainly Alpha
cath|4_2_0|2m5zA00/2-44,Mainly Alpha
cath|4_2_0|2qcuA03/391-461,Mainly Alpha
cath|4_2_0|2rgoB03/474-607,Mainly Alpha
cath|4_2_0|3da1A03/414-549,Mainly Alpha
cath|4_2_0|2r18A02/162-220,Mainly Alpha
cath|4_2_0|2xljA02/107-130,Mainly Alpha
cath|4_2_0|2yqzA02/147-169_204-248,Mainly Alpha
cath|4_2_0|2z3xA00/2-57,Mainly Alpha
cath|4_2_0|3a98B01/530-558_676-727,Mainly Alpha
cath|4_2_0|3ctwB00/17-147,Mainly Alpha
cath|4_2_0|3d8lA00/1-91,Mainly Alpha
cath|4_2_0|3fkeA01/218-288,Mainly Alpha
cath|4_2_0|4gh9A01/208-277,Mainly Alpha
cath|4_2_0|3ig5A04/608-673,Mainly Alpha
cath|4_2_0|3j27B00/1-72,Mainly Alpha
cath|4_2_0|3kvwA01/-16-123,Mainly Alpha
cath|4_2_0|3kfuG02/67-84,Mainly Alpha
cath|4_2_0|3kp1E02/45-114,Mainly Alpha
cath|4_2_0|3m7gA02/11-74_239-269,Mainly Alpha
cath|4_2_0|3nbiA01/2-59,Mainly Alpha
cath|4_2_0|3o2zG01/35-83,Mainly Alpha
cath|4_2_0|3rfwA01/22-82,Mainly Alpha
cath|4_2_0|3shgB00/1-61,Mainly Alpha
cath|4_2_0|3t38A01/9-79,Mainly Alpha
cath|4_2_0|3thgA00/248-346,Mainly Alpha
cath|4_2_0|4s12A02/219-295,Mainly Alpha
cath|4_2_0|4bb9A01/6-27_510-606,Mainly Alpha
cath|4_2_0|4fvmA04/770-815,Mainly Alpha
cath|4_2_0|4emcC01/230-257,Mainly Alpha
cath|4_2_0|4gipA00/20-100,Mainly Alpha
cath|4_2_0|4qozC00/127-199,Mainly Alpha
cath|4_2_0|4i8oA03/184-250,Mainly Alpha
cath|4_2_0|4ihqB05/461-513,Mainly Alpha
cath|4_2_0|4iiwA01/42-117,Mainly Alpha
cath|4_2_0|4nooB00/28-122,Mainly Alpha
cath|4_2_0|4oe8C00/2-118,Mainly Alpha
cath|4_2_0|4ou7A00/84-154,Mainly Alpha
cath|4_2_0|4m0wA02/59-182,Mainly Alpha
cath|4_2_0|4rnaA02/57-183,Mainly Alpha
cath|4_2_0|2ka6B00/706-750,Mainly Alpha
cath|4_2_0|4xgiA01/13-50_410-434,Mainly Alpha
cath|4_2_0|3k92A01/7-42_401-424,Mainly Alpha
cath|4_2_0|3aoeD01/4-39_395-419,Mainly Alpha
cath|4_2_0|3k8zA01/17-42_400-423,Mainly Alpha
cath|4_2_0|3vkgA15/3886-3979,Mainly Alpha
cath|4_2_0|4b7hA01/2-64,Mainly Alpha
cath|4_2_0|1dgfA01/5-68,Mainly Alpha
cath|4_2_0|3cf6E01/310-354,Mainly Alpha
cath|4_2_0|3kxeC01/11-79,Mainly Alpha
cath|4_2_0|3lmmA02/160-238,Mainly Alpha
cath|4_2_0|3ocfB03/406-440,Mainly Alpha
cath|4_2_0|3te6A02/725-844,Mainly Alpha
cath|4_2_0|3tl4X01/2-115,Mainly Alpha
cath|4_2_0|4hl4A01/25-170,Mainly Alpha
cath|4_2_0|1xmkA00/288-366,Mainly Alpha
cath|4_2_0|4co8A00/337-434,Mainly Alpha
cath|4_2_0|3iwfB00/2-102,Mainly Alpha
cath|4_2_0|1r7jA00/3-92,Mainly Alpha
cath|4_2_0|2fq3A00/311-395,Mainly Alpha
cath|4_2_0|5it3A00/183-267,Mainly Alpha
cath|4_2_0|5hdkC00/5-110,Mainly Alpha
cath|4_2_0|1s29A00/1-92,Mainly Alpha
cath|4_2_0|1i27A00/445-517,Mainly Alpha
cath|4_2_0|4uhtA00/131-232,Mainly Alpha
cath|4_2_0|4rayA01/-1-84,Mainly Alpha
cath|4_2_0|1fp2A01/8-103,Mainly Alpha
cath|4_2_0|1y0uA00/-1-87,Mainly Alpha
cath|4_2_0|3l00A02/86-175,Mainly Alpha
cath|4_2_0|1ucrB00/1-75,Mainly Alpha
cath|4_2_0|3f6vA00/26-121,Mainly Alpha
cath|4_2_0|1zarA01/2-90,Mainly Alpha
cath|4_2_0|3rjpA00/133-228,Mainly Alpha
cath|4_2_0|4nb5B01/15-99,Mainly Alpha
cath|4_2_0|2zcwA02/117-198,Mainly Alpha
cath|4_2_0|2od5A00/6-96,Mainly Alpha
cath|4_2_0|5kvrA00/-1-75,Mainly Alpha
cath|4_2_0|3l9fA01/1-89,Mainly Alpha
cath|4_2_0|5d6eA02/372-451,Mainly Alpha
cath|4_2_0|4lmyA01/1-95,Mainly Alpha
cath|4_2_0|2v9vA02/437-505,Mainly Alpha
cath|4_2_0|2htsA00/194-285,Mainly Alpha
cath|4_2_0|2f2eA01/14-104,Mainly Alpha
cath|4_2_0|3m1eA00/1-87,Mainly Alpha
cath|4_2_0|4k2eB00/14-105,Mainly Alpha
cath|4_2_0|3fxqB01/1-90,Mainly Alpha
cath|4_2_0|2pmuC00/148-246,Mainly Alpha
cath|4_2_0|3e6cC02/148-233,Mainly Alpha
cath|4_2_0|4bhbA02/71-156,Mainly Alpha
cath|4_2_0|5dcmA00/128-224,Mainly Alpha
cath|4_2_0|2qvoA00/5-91,Mainly Alpha
cath|4_2_0|3gwzA01/11-99,Mainly Alpha
cath|4_2_0|2xigA01/1-93,Mainly Alpha
cath|4_2_0|3la7B02/130-216,Mainly Alpha
cath|4_2_0|2p5kA00/2-64,Mainly Alpha
cath|4_2_0|2ip2A01/5-88,Mainly Alpha
cath|4_2_0|1dp7P00/1-76,Mainly Alpha
cath|4_2_0|3tduD00/701-776,Mainly Alpha
cath|4_2_0|3f6oB00/6-96,Mainly Alpha
cath|4_2_0|1p2fA02/123-217,Mainly Alpha
cath|4_2_0|3l2cA00/93-177,Mainly Alpha
cath|4_2_0|1hw1A01/5-79,Mainly Alpha
cath|4_2_0|1yo5C00/247-334,Mainly Alpha
cath|4_2_0|2hztC00/2-98,Mainly Alpha
cath|4_2_0|4zyeA02/68-151,Mainly Alpha
cath|4_2_0|5trdA01/5-88,Mainly Alpha
cath|4_2_0|2obpA00/12-92,Mainly Alpha
cath|4_2_0|5cvvB01/16-118,Mainly Alpha
cath|4_2_0|1r1tA00/24-121,Mainly Alpha
cath|4_2_0|5hs7B00/4-101,Mainly Alpha
cath|4_2_0|1sfxB00/2-105,Mainly Alpha
cath|4_2_0|1t6sA01/1-86,Mainly Alpha
cath|4_2_0|1mzbA01/1-83,Mainly Alpha
cath|4_2_0|2vooB01/9-90,Mainly Alpha
cath|4_2_0|1b9mB01/-1-107,Mainly Alpha
cath|4_2_0|5iceA01/-1-99,Mainly Alpha
cath|4_2_0|3b02A02/111-195,Mainly Alpha
cath|4_2_0|4e70A01/1-107,Mainly Alpha
cath|4_2_0|4hw0C00/8-100,Mainly Alpha
cath|4_2_0|3elkB00/8-111,Mainly Alpha
cath|4_2_0|4esjA02/165-254,Mainly Alpha
cath|4_2_0|1u2wD00/11-118,Mainly Alpha
cath|4_2_0|4i2oA02/156-235,Mainly Alpha
cath|4_2_0|1pueF00/171-259,Mainly Alpha
cath|4_2_0|2esnA01/3-91,Mainly Alpha
cath|4_2_0|3c7jA01/-2-88,Mainly Alpha
cath|4_2_0|2a07J00/502-584,Mainly Alpha
cath|4_2_0|4gggA00/11-102,Mainly Alpha
cath|4_2_0|4r8hB02/139-209,Mainly Alpha
cath|4_2_0|4hlyA00/3-108,Mainly Alpha
cath|4_2_0|1rz4A02/123-216,Mainly Alpha
cath|4_2_0|3keoA01/6-77,Mainly Alpha
cath|4_2_0|5eehB01/13-109,Mainly Alpha
cath|4_2_0|4cydB02/148-227,Mainly Alpha
cath|4_2_0|2oqgC00/3-107,Mainly Alpha
cath|4_2_0|3m8eB00/4-96,Mainly Alpha
cath|4_2_0|5dymA00/10-106,Mainly Alpha
cath|4_2_0|2rkhA01/6-101,Mainly Alpha
cath|4_2_0|2v9vA01/377-436,Mainly Alpha
cath|4_2_0|3co6C00/154-244,Mainly Alpha
cath|4_2_0|3b73B00/-1-87,Mainly Alpha
cath|4_2_0|5d4sB00/-15-68,Mainly Alpha
cath|4_2_0|5fo5A00/1-88,Mainly Alpha
cath|4_2_0|4tv7D01/5-93,Mainly Alpha
cath|4_2_0|2gauA02/152-232,Mainly Alpha
cath|4_2_0|3mczA01/21-102,Mainly Alpha
cath|4_2_0|3to7A03/341-421,Mainly Alpha
cath|4_2_0|1xgsA02/195-271,Mainly Alpha
cath|4_2_0|1in4A02/256-328,Mainly Alpha
cath|4_2_0|4jqfA02/296-368,Mainly Alpha
cath|4_2_0|3szpA01/1-89,Mainly Alpha
cath|4_2_0|4mhgA01/336-424,Mainly Alpha
cath|4_2_0|2ns0A00/2-85,Mainly Alpha
cath|4_2_0|2zkzC00/10-96,Mainly Alpha
cath|4_2_0|4g6qA01/3-89,Mainly Alpha
cath|4_2_0|3gw2A00/7-99,Mainly Alpha
cath|4_2_0|3mq0A01/20-98,Mainly Alpha
cath|4_2_0|1t0fA02/169-267,Mainly Alpha
cath|4_2_0|3bz6A01/13-102,Mainly Alpha
cath|4_2_0|1on2A01/2-73,Mainly Alpha
cath|4_2_0|5deqB02/143-225,Mainly Alpha
cath|4_2_0|3neuA01/2-76,Mainly Alpha
cath|4_2_0|4x6gE01/-1-85,Mainly Alpha
cath|4_2_0|5lrrF02/137-237,Mainly Alpha
cath|4_2_0|2pg4A00/2-92,Mainly Alpha
cath|4_2_0|3g73A00/232-321,Mainly Alpha
cath|4_2_0|3df8A00/-2-106,Mainly Alpha
cath|4_2_0|3k2zB01/3-67,Mainly Alpha
cath|4_2_0|2o3fA00/2-83,Mainly Alpha
cath|4_2_0|3eyiB00/-4-165,Mainly Alpha
cath|4_2_0|1xsvA00/5-110,Mainly Alpha
cath|4_2_0|2ff4A01/8-106,Mainly Alpha
cath|4_2_0|3qu3B01/11-125,Mainly Alpha
cath|4_2_0|4ou0A00/203-268,Mainly Alpha
cath|4_2_0|3e97A02/146-223,Mainly Alpha
cath|4_2_0|2qm3A01/0-82,Mainly Alpha
cath|4_2_0|2p8tA01/14-82_192-199,Mainly Alpha
cath|4_2_0|2co5A00/5-96,Mainly Alpha
cath|4_2_0|2d1hB00/5-109,Mainly Alpha
cath|4_2_0|3o2pE00/730-815,Mainly Alpha
cath|4_2_0|1opcA00/137-235,Mainly Alpha
cath|4_2_0|1stzA01/14-98,Mainly Alpha
cath|4_2_0|3h92A00/7-92,Mainly Alpha
cath|4_2_0|3jtgA01/273-357,Mainly Alpha
cath|4_2_0|4ixaB00/129-228,Mainly Alpha
cath|4_2_0|4kibA01/5-103,Mainly Alpha
cath|4_2_0|1z6tA04/366-450,Mainly Alpha
cath|4_2_0|3fx3B02/138-232,Mainly Alpha
cath|4_2_0|4gyiA01/2-94,Mainly Alpha
cath|4_2_0|2z99A01/21-107,Mainly Alpha
cath|4_2_0|3p9cA01/9-112,Mainly Alpha
cath|4_2_0|2qq9A01/3-73,Mainly Alpha
cath|4_2_0|4ivnA01/6-81,Mainly Alpha
cath|4_2_0|1t6sB02/86-162,Mainly Alpha
cath|4_2_0|3lfkD00/4-113,Mainly Alpha
cath|4_2_0|1hsjB03/371-456,Mainly Alpha
cath|4_2_0|3qp6A02/187-264,Mainly Alpha
cath|4_2_0|4pzjA00/2-70,Mainly Alpha
cath|4_2_0|1bjaA00/2-96,Mainly Alpha
cath|4_2_0|4yiiA00/747-818,Mainly Alpha
cath|4_2_0|3w6kC00/11-99,Mainly Alpha
cath|4_2_0|3pqkA00/16-114,Mainly Alpha
cath|4_2_0|4hyeA02/131-199,Mainly Alpha
cath|4_2_0|2ve8D01/744-804,Mainly Alpha
cath|4_2_0|2fmyA02/138-219,Mainly Alpha
cath|4_2_0|1fc3B00/141-255,Mainly Alpha
cath|4_2_0|3f8bA00/5-109,Mainly Alpha
cath|4_2_0|3m8eA00/-15-102,Mainly Alpha
cath|4_2_0|3hyiA02/202-293,Mainly Alpha
cath|4_2_0|4rs8A00/9-92,Mainly Alpha
cath|4_2_0|2h6bA02/146-226_227-250,Mainly Alpha
cath|4_2_0|1ub9A00/1-100,Mainly Alpha
cath|4_2_0|3go5A04/222-284,Mainly Alpha
cath|4_2_0|3dp7B01/6-98,Mainly Alpha
cath|4_2_0|3v4gA01/6-70,Mainly Alpha
cath|4_2_0|2pq8A03/353-424,Mainly Alpha
cath|4_2_0|2wteA02/141-212,Mainly Alpha
cath|4_2_0|3fm3A02/251-330,Mainly Alpha
cath|4_2_0|3htuA00/102-176,Mainly Alpha
cath|4_2_0|2gwrA02/126-228,Mainly Alpha
cath|4_2_0|2pbiA01/7-110,Mainly Alpha
cath|4_2_0|3wg9B01/4-77,Mainly Alpha
cath|4_2_0|4mtdD01/2-89,Mainly Alpha
cath|4_2_0|1a04A02/129-215,Mainly Alpha
cath|4_2_0|4d0pA02/299-362,Mainly Alpha
cath|4_2_0|1fnnB03/276-387,Mainly Alpha
cath|4_2_0|1jhfA02/2-70,Mainly Alpha
cath|4_2_0|2r7dA01/3-71,Mainly Alpha
cath|4_2_0|4wcgA00/217-277,Mainly Alpha
cath|4_2_0|2fswA00/3-104,Mainly Alpha
