identifier,label
4a0tA01,Special
2qgmA02,Alpha Beta
4ak2A02,Mainly Beta
2hd0A01,Mainly Alpha
1nnhA00,Alpha Beta
5hb5B00,Alpha Beta
1m4uA02,Mainly Alpha
4fcwA02,Mainly Alpha
3r6oA01,Mainly Beta
2zyrB03,Mainly Beta
3o5sA00,Mainly Beta
4l5nC00,Special
3m7gA01,Alpha Beta
3nbxX04,Mainly Beta
3c8iA00,Mainly Beta
2cwoA01,Mainly Alpha
1jnrB02,Special
1vk1A02,Alpha Beta
1jqkA03,Mainly Alpha
1fd3A00,Alpha Beta
2dyjA00,Alpha Beta
1bg5A03,Few secondary structures
5bu5A01,Mainly Alpha
1amiA02,Alpha Beta
3neuA02,Mainly Alpha
4evfA03,Mainly Alpha
2i8dA02,Mainly Alpha
1of9A00,Mainly Alpha
2g3aA01,Mainly Alpha
4by6A01,Mainly Alpha
2xmxA02,Alpha Beta
4jvsA01,Mainly Alpha
1gvfB00,Alpha Beta
3ivpA02,Special
2yu6A01,Alpha Beta
1uurA01,Mainly Alpha
1zatA01,Alpha Beta
1i4eA00,Mainly Beta
5c5bB01,Mainly Alpha
4i9oA00,Mainly Alpha
4g08A02,Alpha Beta
3a1gA00,Special
2mn7A00,Mainly Alpha
2g9dA02,Mainly Beta
3l4gB03,Alpha Beta
3imnA02,Alpha Beta
2ju0B00,Special
1rjlC00,Alpha Beta
1yu0A01,Mainly Beta
3kwlA03,Mainly Alpha
3wwfA00,Mainly Beta
1co4A00,Alpha Beta
4hyzB00,Alpha Beta
3vtnA01,Mainly Beta
1ng6A01,Mainly Alpha
5z62H00,Mainly Alpha
2pfuA01,Alpha Beta
1keaA02,Mainly Alpha
4f92B12,Mainly Beta
1l1lA03,Alpha Beta
4u39E02,Alpha Beta
2z0rA00,Alpha Beta
3lhfD02,Mainly Alpha
4aycA01,Mainly Alpha
2iumA00,Mainly Beta
1lmlA02,Alpha Beta
3hjeA05,Mainly Beta
2xz2A00,Mainly Alpha
1l5jA04,Alpha Beta
3tw6A05,Mainly Alpha
2zf8A01,Mainly Beta
5fj4C00,Alpha Beta
2e62A01,Special
4w8hA00,Alpha Beta
2mm0A00,Mainly Beta
2q9rA01,Mainly Alpha
3i0yA00,Alpha Beta
1gpzA02,Mainly Beta
1yrtA02,Alpha Beta
3bzcA02,Mainly Alpha
1yu0A02,Mainly Beta
2j4hA01,Mainly Beta
1pzwA00,Alpha Beta
2hngA00,Alpha Beta
